wareh,capacity,buffer,QMK,CHI,CHILOC,GP,GS,BS,RND
2.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0
2.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0
2.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0
2.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0
2.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0
2.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0
3.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0
3.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0
3.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0
3.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0
3.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0
3.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0
4.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0
4.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0
4.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0
4.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0
4.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0
4.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0
2.0,480.0,80.0,480.0,480.0,480.0,480.0,480.0,480.0,0.0
2.0,480.0,80.0,480.0,480.0,480.0,480.0,480.0,480.0,0.0
2.0,480.0,80.0,480.0,480.0,480.0,480.0,480.0,480.0,0.0
2.0,480.0,80.0,480.0,480.0,480.0,480.0,480.0,480.0,0.0
2.0,480.0,80.0,480.0,480.0,480.0,480.0,480.0,480.0,0.0
2.0,480.0,80.0,480.0,480.0,480.0,480.0,480.0,480.0,0.0
3.0,480.0,80.0,480.0,480.0,480.0,480.0,480.0,480.0,0.0
