wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,RND
2.0,100.0,0.0,12729.0,12754.0,12729.0,14367.0,12729.0,14233.0,12745.0,13152.0,13152.0,15477.0
2.0,100.0,0.0,12152.0,12152.0,12152.0,14061.0,12152.0,13420.0,12180.0,12581.0,12581.0,15441.0
2.0,100.0,0.0,11628.0,11628.0,11628.0,13142.0,11628.0,12817.0,11628.0,12111.0,12111.0,15310.0
3.0,100.0,0.0,15379.0,15376.0,15376.0,17375.0,15379.0,16743.0,15428.0,16190.0,16190.0,18591.0
3.0,100.0,0.0,15995.0,14875.0,14861.0,16661.0,15995.0,16229.0,14887.0,15948.0,15948.0,18528.0
3.0,100.0,0.0,16119.0,14353.0,14353.0,16326.0,16119.0,15888.0,14397.0,15957.0,15957.0,18435.0
4.0,100.0,0.0,17465.0,17509.0,17485.0,19032.0,17465.0,18810.0,17530.0,18345.0,18345.0,20554.0
4.0,100.0,0.0,16846.0,16882.0,16850.0,18833.0,16846.0,18374.0,16912.0,18229.0,18229.0,20494.0
4.0,100.0,0.0,16415.0,16436.0,16430.0,18842.0,16415.0,17932.0,16481.0,17742.0,17742.0,20391.0
2.0,120.0,20.0,11307.0,11307.0,11307.0,13463.0,11307.0,12151.0,11307.0,11315.0,11382.0,14390.0
2.0,120.0,20.0,11765.0,10910.0,10910.0,12695.0,11765.0,11455.0,10917.0,10910.0,10971.0,14326.0
2.0,120.0,20.0,12216.0,10594.0,10594.0,13109.0,12216.0,10901.0,10612.0,10594.0,10637.0,14088.0
3.0,120.0,20.0,13724.0,14097.0,14097.0,16454.0,13724.0,15083.0,14132.0,14378.0,14143.0,17281.0
3.0,120.0,20.0,13234.0,13547.0,13547.0,15861.0,13234.0,14857.0,13564.0,14352.0,13549.0,17282.0
3.0,120.0,20.0,12971.0,12973.0,12973.0,15734.0,12971.0,14471.0,12978.0,14326.0,12974.0,17216.0
4.0,120.0,20.0,15680.0,16176.0,15832.0,18369.0,15680.0,17009.0,16187.0,16380.0,16307.0,19220.0
4.0,120.0,20.0,15596.0,15648.0,15648.0,18316.0,15596.0,16533.0,15648.0,16194.0,15767.0,19172.0
4.0,120.0,20.0,15791.0,15076.0,15076.0,17882.0,15791.0,16119.0,15092.0,16101.0,15179.0,19131.0
2.0,200.0,0.0,12738.0,12763.0,12738.0,15090.0,12738.0,14278.0,12793.0,12934.0,12934.0,15446.0
2.0,200.0,0.0,12144.0,12166.0,12144.0,14700.0,12144.0,13697.0,12141.0,13568.0,13568.0,15403.0
2.0,200.0,0.0,11606.0,11606.0,11606.0,14119.0,11606.0,13024.0,11623.0,14193.0,14193.0,15262.0
3.0,200.0,0.0,15394.0,15409.0,15386.0,17811.0,15394.0,16646.0,15463.0,15804.0,15804.0,18556.0
3.0,200.0,0.0,15683.0,14950.0,14923.0,17987.0,15683.0,16360.0,15029.0,15417.0,15417.0,18522.0
3.0,200.0,0.0,16059.0,14360.0,14360.0,17537.0,16059.0,15913.0,14389.0,15017.0,15017.0,18414.0
4.0,200.0,0.0,17292.0,17349.0,17290.0,19854.0,17292.0,18817.0,17452.0,17728.0,17728.0,20516.0
4.0,200.0,0.0,16833.0,16879.0,16834.0,19689.0,16833.0,18448.0,16882.0,17344.0,17344.0,20488.0
4.0,200.0,0.0,16360.0,16379.0,16357.0,19625.0,16360.0,18189.0,16434.0,16870.0,16870.0,20412.0
2.0,240.0,40.0,11298.0,11298.0,11298.0,14510.0,11298.0,12283.0,11309.0,11298.0,11337.0,14392.0
2.0,240.0,40.0,11782.0,10888.0,10888.0,14217.0,11782.0,11420.0,10899.0,11786.0,10926.0,14301.0
2.0,240.0,40.0,12249.0,10548.0,10548.0,14654.0,12249.0,10930.0,10585.0,12243.0,10583.0,14058.0
3.0,240.0,40.0,13728.0,14141.0,14141.0,17371.0,13728.0,15001.0,14162.0,14177.0,14058.0,17305.0
3.0,240.0,40.0,13382.0,13591.0,13415.0,17299.0,13382.0,14750.0,13598.0,13696.0,13494.0,17283.0
3.0,240.0,40.0,12939.0,13015.0,12983.0,17514.0,12939.0,14410.0,13029.0,13186.0,12931.0,17155.0
4.0,240.0,40.0,15616.0,16076.0,15724.0,19317.0,15616.0,16915.0,16141.0,16132.0,16151.0,19195.0
4.0,240.0,40.0,15516.0,15585.0,15585.0,18998.0,15516.0,16462.0,15631.0,15740.0,15608.0,19194.0
4.0,240.0,40.0,15738.0,15012.0,14888.0,19440.0,15738.0,15996.0,15143.0,15221.0,15074.0,19164.0
2.0,300.0,0.0,12769.0,12760.0,12760.0,15168.0,12769.0,14443.0,12811.0,12901.0,12901.0,15467.0
2.0,300.0,0.0,12159.0,12155.0,12155.0,14990.0,12159.0,13891.0,12234.0,12303.0,12303.0,15418.0
2.0,300.0,0.0,14064.0,11623.0,11623.0,14687.0,14064.0,13169.0,11654.0,11783.0,11783.0,15300.0
3.0,300.0,0.0,15435.0,15492.0,15425.0,18294.0,15435.0,17141.0,15506.0,15872.0,15872.0,18573.0
3.0,300.0,0.0,14896.0,14924.0,14924.0,18177.0,14896.0,16704.0,14951.0,15783.0,15783.0,18536.0
3.0,300.0,0.0,14344.0,14370.0,14341.0,17847.0,14344.0,16275.0,14388.0,15705.0,15705.0,18437.0
4.0,300.0,0.0,17363.0,17465.0,17384.0,20000.0,17363.0,19163.0,17530.0,17785.0,17785.0,20534.0
4.0,300.0,0.0,16953.0,17004.0,16972.0,20174.0,16953.0,18845.0,17096.0,17478.0,17478.0,20505.0
4.0,300.0,0.0,16766.0,16448.0,16385.0,19763.0,16766.0,18416.0,16491.0,16793.0,16793.0,20422.0
2.0,360.0,60.0,11287.0,11293.0,11288.0,15068.0,11287.0,12106.0,11326.0,11294.0,11332.0,14412.0
2.0,360.0,60.0,10888.0,10897.0,10894.0,15126.0,10888.0,11374.0,10926.0,10895.0,10916.0,14308.0
2.0,360.0,60.0,10560.0,10555.0,10553.0,14974.0,10560.0,10904.0,10569.0,10559.0,10576.0,14072.0
3.0,360.0,60.0,13677.0,14118.0,13715.0,17848.0,13677.0,15000.0,14140.0,14209.0,14022.0,17293.0
3.0,360.0,60.0,13885.0,13571.0,13353.0,17859.0,13885.0,14683.0,13586.0,14177.0,13457.0,17292.0
3.0,360.0,60.0,12694.0,13032.0,12968.0,17782.0,12694.0,14356.0,13067.0,14164.0,12903.0,17173.0
4.0,360.0,60.0,15619.0,16131.0,15729.0,19871.0,15619.0,16819.0,16221.0,16157.0,16117.0,19209.0
4.0,360.0,60.0,15420.0,15574.0,15420.0,19873.0,15420.0,16449.0,15641.0,15787.0,15585.0,19206.0
4.0,360.0,60.0,14767.0,14962.0,14962.0,19847.0,14767.0,15970.0,15105.0,15441.0,15071.0,19125.0
2.0,400.0,0.0,12732.0,12762.0,12739.0,15198.0,12732.0,14415.0,12774.0,12854.0,12854.0,15499.0
2.0,400.0,0.0,12136.0,12143.0,12143.0,15122.0,12136.0,13829.0,12209.0,13473.0,13473.0,15448.0
2.0,400.0,0.0,11616.0,11616.0,11616.0,14821.0,11616.0,13089.0,11674.0,14111.0,14111.0,15317.0
3.0,400.0,0.0,15440.0,15458.0,15415.0,18440.0,15440.0,17112.0,15531.0,15635.0,15635.0,18638.0
3.0,400.0,0.0,15920.0,14899.0,14854.0,18243.0,15920.0,16589.0,14974.0,16054.0,16054.0,18604.0
3.0,400.0,0.0,16082.0,14360.0,14328.0,18156.0,16082.0,16056.0,14403.0,16287.0,16287.0,18507.0
4.0,400.0,0.0,17343.0,17497.0,17305.0,20343.0,17343.0,19107.0,17538.0,17765.0,17765.0,20635.0
4.0,400.0,0.0,16849.0,16932.0,16834.0,20153.0,16849.0,18798.0,17035.0,17180.0,17180.0,20608.0
4.0,400.0,0.0,16353.0,16438.0,16354.0,19996.0,16353.0,18420.0,16551.0,16819.0,16819.0,20525.0
2.0,480.0,80.0,11292.0,11291.0,11284.0,15148.0,11292.0,12165.0,11361.0,11297.0,11308.0,14476.0
2.0,480.0,80.0,11765.0,10914.0,10904.0,15251.0,11765.0,11637.0,10915.0,11764.0,10923.0,14362.0
2.0,480.0,80.0,12256.0,10572.0,10570.0,15260.0,12256.0,10935.0,10613.0,12264.0,10586.0,14067.0
3.0,480.0,80.0,13701.0,14116.0,13718.0,18116.0,13701.0,14855.0,14147.0,14159.0,14022.0,17397.0
3.0,480.0,80.0,13341.0,13544.0,13362.0,18185.0,13341.0,14558.0,13604.0,14685.0,13477.0,17404.0
3.0,480.0,80.0,12926.0,12988.0,12928.0,18145.0,12926.0,14232.0,13076.0,15117.0,12916.0,17253.0
4.0,480.0,80.0,15584.0,15953.0,15953.0,20085.0,15584.0,16796.0,16217.0,16322.0,16081.0,19325.0
4.0,480.0,80.0,15502.0,15438.0,15438.0,20174.0,15502.0,16497.0,15686.0,15633.0,15556.0,19285.0
4.0,480.0,80.0,15676.0,14953.0,14953.0,20070.0,15676.0,16057.0,15155.0,15095.0,15016.0,19255.0
2.0,500.0,0.0,12783.0,12774.0,12774.0,15444.0,12783.0,14661.0,12823.0,12849.0,12849.0,15491.0
2.0,500.0,0.0,13396.0,12170.0,12158.0,15157.0,13396.0,14127.0,12172.0,12249.0,12249.0,15448.0
2.0,500.0,0.0,14037.0,11617.0,11617.0,14778.0,14037.0,13488.0,11657.0,11730.0,11730.0,15294.0
3.0,500.0,0.0,15419.0,15467.0,15409.0,18500.0,15419.0,17495.0,15652.0,15767.0,15767.0,18621.0
