wareh,capacity,buffer,QMKOPT,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,OPT,RND
2.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0
2.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0
2.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0
3.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0
3.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0
3.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0
4.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0
4.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0
4.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0
2.0,24.0,4.0,24.0,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,24.0,0.0
2.0,24.0,4.0,24.0,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,24.0,0.0
2.0,24.0,4.0,24.0,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,24.0,0.0
3.0,24.0,4.0,24.0,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,24.0,0.0
3.0,24.0,4.0,24.0,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,24.0,0.0
3.0,24.0,4.0,24.0,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,24.0,0.0
4.0,24.0,4.0,24.0,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,24.0,0.0
4.0,24.0,4.0,24.0,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,24.0,0.0
4.0,24.0,4.0,24.0,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,24.0,0.0
