wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,RND
2.0,100.0,0.0,13352.0,13660.0,13352.0,14157.0,13352.0,15256.0,14587.0,13978.0,13978.0,15496.0
2.0,100.0,0.0,13017.0,13102.0,13102.0,14306.0,13017.0,14866.0,14208.0,13421.0,13421.0,15443.0
2.0,100.0,0.0,12559.0,12617.0,12617.0,13283.0,12559.0,14211.0,13954.0,13019.0,13019.0,15335.0
3.0,100.0,0.0,15683.0,15918.0,15517.0,17352.0,15683.0,17551.0,17011.0,17150.0,17150.0,18610.0
3.0,100.0,0.0,15503.0,15633.0,15178.0,16654.0,15503.0,17075.0,16819.0,16665.0,16665.0,18538.0
3.0,100.0,0.0,15028.0,15334.0,15018.0,16435.0,15028.0,16820.0,16521.0,16234.0,16234.0,18510.0
4.0,100.0,0.0,16810.0,17525.0,17031.0,18498.0,16810.0,19341.0,19060.0,19259.0,19259.0,20628.0
4.0,100.0,0.0,16548.0,16859.0,16511.0,18993.0,16548.0,18874.0,18494.0,18969.0,18969.0,20593.0
4.0,100.0,0.0,16240.0,16748.0,16403.0,18716.0,16240.0,18652.0,18025.0,18719.0,18719.0,20519.0
2.0,120.0,20.0,11882.0,12006.0,12006.0,13833.0,11882.0,13039.0,12976.0,12142.0,12280.0,14457.0
2.0,120.0,20.0,12247.0,11659.0,11597.0,13475.0,12247.0,12582.0,12774.0,11716.0,11909.0,14344.0
2.0,120.0,20.0,11328.0,11276.0,11253.0,13828.0,11328.0,11847.0,12211.0,11281.0,11396.0,14062.0
3.0,120.0,20.0,14173.0,14295.0,14295.0,16687.0,14173.0,15394.0,14985.0,15089.0,15329.0,17411.0
3.0,120.0,20.0,13799.0,14082.0,14082.0,16288.0,13799.0,15327.0,14782.0,14580.0,14687.0,17351.0
3.0,120.0,20.0,13504.0,13598.0,13489.0,16575.0,13504.0,15115.0,14436.0,14141.0,14213.0,17254.0
4.0,120.0,20.0,15824.0,15714.0,15714.0,18456.0,15824.0,17481.0,16666.0,17310.0,17349.0,19258.0
4.0,120.0,20.0,15710.0,15487.0,15293.0,18369.0,15710.0,17141.0,16602.0,16873.0,16964.0,19252.0
4.0,120.0,20.0,15315.0,15464.0,15162.0,17776.0,15315.0,16687.0,16355.0,16558.0,16479.0,19204.0
2.0,200.0,0.0,13651.0,13781.0,13684.0,14863.0,13651.0,15087.0,14673.0,13988.0,13988.0,15518.0
2.0,200.0,0.0,13210.0,13282.0,13228.0,14724.0,13210.0,14607.0,14592.0,13478.0,13478.0,15459.0
2.0,200.0,0.0,12768.0,12818.0,12769.0,14370.0,12768.0,14032.0,14388.0,13046.0,13046.0,15345.0
3.0,200.0,0.0,15860.0,16318.0,15932.0,17839.0,15860.0,17711.0,17447.0,17157.0,17157.0,18643.0
3.0,200.0,0.0,15970.0,16005.0,15642.0,17789.0,15970.0,17387.0,17225.0,16835.0,16835.0,18590.0
3.0,200.0,0.0,15670.0,15656.0,15337.0,17643.0,15670.0,17089.0,16928.0,16521.0,16521.0,18505.0
4.0,200.0,0.0,17212.0,17903.0,17397.0,19517.0,17212.0,19425.0,19285.0,19316.0,19316.0,20634.0
4.0,200.0,0.0,16894.0,17435.0,17088.0,19260.0,16894.0,19116.0,18991.0,18961.0,18961.0,20615.0
4.0,200.0,0.0,16680.0,17275.0,16948.0,19231.0,16680.0,19121.0,18791.0,18717.0,18717.0,20537.0
2.0,240.0,40.0,12067.0,12236.0,12131.0,14810.0,12067.0,12956.0,13085.0,12279.0,12394.0,14456.0
2.0,240.0,40.0,12322.0,11848.0,11797.0,14546.0,12322.0,12465.0,12838.0,11937.0,12049.0,14364.0
2.0,240.0,40.0,11335.0,11450.0,11350.0,14565.0,11335.0,12116.0,12526.0,11500.0,11541.0,14096.0
3.0,240.0,40.0,14203.0,14639.0,14493.0,17314.0,14203.0,15555.0,15323.0,15094.0,15434.0,17382.0
3.0,240.0,40.0,14132.0,14217.0,14092.0,17302.0,14132.0,15297.0,15139.0,14736.0,14921.0,17369.0
3.0,240.0,40.0,13828.0,13763.0,13763.0,17390.0,13828.0,15034.0,14835.0,14408.0,14360.0,17261.0
4.0,240.0,40.0,15936.0,16247.0,15971.0,19167.0,15936.0,17358.0,17138.0,17205.0,17518.0,19294.0
4.0,240.0,40.0,15686.0,15882.0,15748.0,19162.0,15686.0,17079.0,17087.0,16823.0,17049.0,19268.0
4.0,240.0,40.0,15503.0,15471.0,15471.0,19268.0,15503.0,16775.0,16703.0,16706.0,16538.0,19220.0
2.0,300.0,0.0,13538.0,13850.0,13591.0,14953.0,13538.0,14930.0,14352.0,14093.0,14093.0,15482.0
2.0,300.0,0.0,13133.0,13337.0,13174.0,14772.0,13133.0,14432.0,14183.0,14548.0,14548.0,15443.0
2.0,300.0,0.0,14002.0,12794.0,12726.0,14634.0,14002.0,14006.0,13856.0,14982.0,14982.0,15305.0
3.0,300.0,0.0,15534.0,16128.0,15757.0,17842.0,15534.0,17572.0,17007.0,17058.0,17058.0,18640.0
3.0,300.0,0.0,15251.0,15766.0,15259.0,17778.0,15251.0,17252.0,16781.0,16852.0,16852.0,18597.0
3.0,300.0,0.0,14863.0,15321.0,14814.0,17553.0,14863.0,16932.0,16471.0,16648.0,16648.0,18478.0
4.0,300.0,0.0,16729.0,17347.0,16966.0,19762.0,16729.0,19640.0,18829.0,18939.0,18939.0,20584.0
4.0,300.0,0.0,16614.0,17186.0,16661.0,19610.0,16614.0,19372.0,18607.0,18682.0,18682.0,20557.0
4.0,300.0,0.0,16619.0,16846.0,16414.0,19353.0,16619.0,18962.0,18223.0,18407.0,18407.0,20507.0
2.0,360.0,60.0,11978.0,12218.0,12018.0,14763.0,11978.0,12903.0,12778.0,12411.0,12415.0,14416.0
2.0,360.0,60.0,11672.0,11872.0,11710.0,14764.0,11672.0,12581.0,12574.0,12736.0,11955.0,14323.0
2.0,360.0,60.0,11263.0,11365.0,11342.0,14819.0,11263.0,12225.0,12294.0,12979.0,11469.0,14074.0
3.0,360.0,60.0,14092.0,14434.0,14198.0,17710.0,14092.0,15508.0,15107.0,15114.0,15445.0,17369.0
3.0,360.0,60.0,14027.0,14115.0,13929.0,17668.0,14027.0,15205.0,14887.0,15122.0,14907.0,17363.0
3.0,360.0,60.0,13638.0,13858.0,13706.0,17694.0,13638.0,14928.0,14528.0,14979.0,14330.0,17247.0
4.0,360.0,60.0,15549.0,15782.0,15504.0,19406.0,15549.0,17348.0,16760.0,17137.0,17449.0,19272.0
4.0,360.0,60.0,15338.0,15579.0,15579.0,19497.0,15338.0,17218.0,16624.0,17100.0,17042.0,19241.0
4.0,360.0,60.0,15035.0,15356.0,15109.0,19541.0,15035.0,16800.0,16444.0,16580.0,16656.0,19216.0
2.0,400.0,0.0,13577.0,13792.0,13665.0,15043.0,13577.0,14774.0,14454.0,14142.0,14142.0,15482.0
2.0,400.0,0.0,13176.0,13289.0,13220.0,14926.0,13176.0,14338.0,14187.0,14616.0,14616.0,15437.0
2.0,400.0,0.0,12669.0,12686.0,12669.0,14841.0,12669.0,13947.0,13834.0,15021.0,15021.0,15319.0
3.0,400.0,0.0,15605.0,16223.0,15669.0,18002.0,15605.0,17411.0,17195.0,16995.0,16995.0,18622.0
3.0,400.0,0.0,15577.0,15914.0,15309.0,17964.0,15577.0,17143.0,16911.0,16494.0,16494.0,18589.0
3.0,400.0,0.0,15336.0,15513.0,15059.0,17795.0,15336.0,16715.0,16560.0,16055.0,16055.0,18480.0
4.0,400.0,0.0,16928.0,17465.0,17055.0,19857.0,16928.0,19163.0,18782.0,19038.0,19038.0,20594.0
4.0,400.0,0.0,16687.0,17173.0,16853.0,19853.0,16687.0,18837.0,18493.0,18876.0,18876.0,20574.0
4.0,400.0,0.0,16390.0,16905.0,16518.0,19863.0,16390.0,18412.0,18224.0,18394.0,18394.0,20493.0
2.0,480.0,80.0,12007.0,12123.0,12032.0,14901.0,12007.0,12855.0,12832.0,12405.0,12243.0,14436.0
2.0,480.0,80.0,12309.0,11617.0,11600.0,14936.0,12309.0,12560.0,12614.0,12797.0,11797.0,14337.0
2.0,480.0,80.0,11184.0,11220.0,11179.0,15003.0,11184.0,11972.0,12312.0,13101.0,11324.0,14084.0
3.0,480.0,80.0,14287.0,14524.0,14263.0,17647.0,14287.0,15282.0,15196.0,15078.0,15314.0,17342.0
3.0,480.0,80.0,14157.0,14232.0,14025.0,17740.0,14157.0,15118.0,14958.0,14709.0,14826.0,17343.0
3.0,480.0,80.0,13867.0,13752.0,13556.0,17806.0,13867.0,14812.0,14535.0,14199.0,14278.0,17267.0
4.0,480.0,80.0,15711.0,15881.0,15496.0,19693.0,15711.0,17051.0,16916.0,16923.0,17488.0,19292.0
4.0,480.0,80.0,15444.0,15630.0,15605.0,19851.0,15444.0,16977.0,16805.0,16646.0,16980.0,19306.0
4.0,480.0,80.0,15189.0,15408.0,15273.0,19637.0,15189.0,16770.0,16666.0,16290.0,16432.0,19232.0
2.0,500.0,0.0,13458.0,13651.0,13543.0,15180.0,13458.0,14862.0,14394.0,13873.0,13873.0,15485.0
2.0,500.0,0.0,13851.0,13176.0,13076.0,15039.0,13851.0,14493.0,14016.0,14359.0,14359.0,15449.0
